game_id,game_name,developer_name,package_name,genre,sub_genre,monetization_model,contains_ads,has_in_app_purchases,multiplayer_support,age_rating,art_style,engine_used,region_focus,publisher_tier,event_theme,release_date,soft_launch_date,last_update_date,was_featured_on_store,featured_start_date,featured_end_date,price_usd,downloads,retention_day1_pct,retention_day7_pct,retention_day30_pct,active_users_30d,avg_session_minutes,avg_daily_sessions,crash_rate_pct,apk_size_mb,update_frequency_days,rating_avg,rating_count,review_count,marketing_spend_usd,cpi_usd,conversion_to_payer_pct,ad_impressions_per_user,ad_revenue_share_pct,iap_revenue_share_pct,arpu_usd,arppu_usd,wishlist_prelaunch,total_revenue_usd,is_weekend_release,has_seasonal_event,cross_platform_available,cloud_save_support,is_hit_game,post_30d_revenue_usd,post_30d_rating_count,featured_duration_days,store_platform,country_code_primary,row_checksum_id
622,Game_622_Arena,Studio_205,com.studio1664.game622,Casual,Party Game,Freemium,Yes,Yes,,Mature 17+,2D Cartoon,Unity,Global,Indie,,2025-05-16,2025-04-06,2026-04-08,False,,,0.0,70113,31.85,15.09,4.29,3511,14.91,1.73,2.04,244.04,62.0,3.48,7295,3095,4851.05,1.08,5.96,28.4,35.35,69.4,0.94,3.66,644,15593.31,False,False,True,True,0,9963.75,6328,,Android,IN,CHK_100621
4386,Game_4386_Rush,Studio_923,com.studio1615.game4386,RPG,Idle RPG,Free,Yes,No,Online,Teen,Minimalist,Unity,LATAM,Mid-size,,2019-05-07,2018-11-30,2021-04-05,False,,,0.0,103726,22.12,9.06,5.24,3851,23.31,2.55,1.46,46.46,42.0,3.62,8399,5931,,0.98,2.39,23.34,69.35,24.71,0.85,11.28,1463,28233.35,False,False,True,False,0,17880.43,9346,,Android,IN,CHK_104385
6795,Game_6795_Tycoon,Studio_921,com.studio44.game6795,RPG,Idle RPG,Free,Yes,No,,Everyone,Anime,Unity,Europe,Unknown,Summer Fest,2018-12-15,2018-11-14,2020-03-16,True,2019-01-31,2019-02-07,0.0,56443,38.33,22.82,14.37,10146,19.51,3.54,3.34,236.9,22.0,4.08,3527,2504,2539.93,0.72,0.79,34.24,56.13,43.08,0.8,10.37,328,5666.18,True,True,False,False,0,6060.03,4096,7.0,Android,BR,CHK_106794
4563,Game_4563_Quest,Studio_1873,com.studio1353.game4563,Casual,Idle Clicker,Paid,No,Yes,,Everyone,Minimalist,Unity,Global,Mid-size,,2019-08-13,2019-06-29,2020-07-16,False,,,1.03,426796,45.14,32.27,11.41,50336,8.18,3.78,1.68,51.11,28.0,3.52,11623,7039,114491.05,1.25,14.62,13.27,4.7,95.05,0.62,6.39,3269,771783.32,False,False,False,False,0,816621.72,12402,,Android,US,CHK_104562
9265,Game_9265_Legends,Studio_1608,com.studio1308.game9265,RPG,MMORPG,Free,Yes,No,,Teen,3D Realistic,Unity,Europe,Indie,Halloween,2025-12-14,2025-07-24,2026-08-12,False,,,0.0,266359,27.89,14.81,5.58,16570,29.47,3.48,1.77,241.94,18.0,4.14,6441,4886,9783.61,1.05,4.21,39.67,56.72,38.35,1.18,13.07,8172,148535.24,True,True,False,True,0,159839.2,7517,,Android,IN,CHK_109264
3133,Game_3133_Rush,Studio_1659,com.studio904.game3133,Casual,Idle Clicker,Freemium,Yes,Yes,Both,Everyone,Anime,Unity,India,Indie,,2021-12-30,2021-11-07,2022-06-08,False,,,0.0,79392,35.71,22.67,6.15,3638,19.18,4.08,4.11,106.27,29.0,3.04,8444,4326,14626.61,1.42,2.11,18.3,80.81,18.68,0.86,11.17,698,18911.39,False,False,False,True,0,18670.33,7629,,Android,IN,CHK_103132
8711,Game_8711_World,Studio_820,com.studio1076.game8711,Puzzle,Physics Puzzle,Paid,Yes,No,Both,Everyone,3D Realistic,Unity,Global,Indie,,2021-05-29,2021-02-01,2022-06-20,True,2021-07-24,2021-08-16,4.12,60106,32.59,18.11,11.32,5544,17.63,4.46,1.33,138.19,26.0,3.69,5873,4067,,1.4,8.57,33.64,78.1,18.87,0.99,3.83,1201,168537.55,True,False,True,False,0,139358.54,5821,23.0,Android,IN,CHK_108710
5738,Game_5738_Dash,Studio_1234,com.studio700.game5738,Action,Fighting,Free,No,Yes,Both,Everyone,3D Realistic,Unity,Global,AAA,Christmas,2020-08-12,2020-03-29,2022-01-13,True,2020-12-26,2021-01-10,0.0,2221819,36.69,22.02,9.71,241583,39.08,3.62,3.04,261.52,52.0,3.71,59730,24016,,1.17,5.83,16.96,8.14,95.33,1.28,8.23,777,1078340.5,False,True,True,False,1,716804.06,85573,15.0,Android,IN,CHK_105737
7783,Game_7783_Dash,Studio_1598,com.studio1736.game7783,Casual,Hypercasual,Free,No,No,,Everyone,2D Cartoon,Unity,LATAM,Unknown,,2019-11-12,2019-07-09,2021-07-06,False,,,0.0,140244,44.68,23.48,10.35,16218,30.47,2.23,2.74,262.05,48.0,4.16,16071,5835,1009.93,0.33,5.42,3.14,1.62,100.0,0.33,2.59,649,19839.95,False,False,False,False,0,15190.9,15525,,Android,IN,CHK_107782
6504,Game_6504_World,Studio_596,com.studio98.game6504,Sports,Basketball,Freemium,Yes,No,,Teen,2D Cartoon,Unity,US,Indie,,2019-10-18,2019-06-22,2021-06-27,True,2020-04-14,,0.0,172725,29.95,13.59,3.44,5716,25.34,2.76,2.29,15.0,58.0,3.56,12946,7966,664.85,0.31,3.54,12.69,36.03,64.98,0.42,3.71,564,22902.27,False,False,False,True,0,21944.04,15193,,Android,IN,CHK_106503
705,Game_705_Quest,Studio_2082,com.studio1297.game705,Casual,Hypercasual,Free,Yes,Yes,Online,Everyone,Pixel,Unity,Global,Unknown,,2024-03-11,2024-01-04,2025-12-05,False,,,0.0,31194,29.94,14.08,9.36,2723,15.36,1.53,2.74,246.56,7.0,3.64,2757,1239,1624.73,1.16,7.49,37.53,48.97,51.75,1.42,15.73,1842,37058.64,False,False,False,False,0,40724.05,3024,,Android,IN,CHK_100704
7667,Game_7667_Legends,Studio_382,com.studio350.game7667,Strategy,Card Strategy,Free,Yes,Yes,,Everyone,2D Cartoon,Godot,Global,Indie,,2022-03-22,2022-02-28,2022-05-28,False,,,0.0,133389,20.51,10.44,4.63,5379,21.86,2.25,2.2,15.0,81.0,3.49,12879,6367,17200.32,0.83,6.58,32.36,25.75,85.76,1.42,,298,45899.26,False,False,False,False,0,28442.59,17727,,Android,IN,CHK_107666
97,Game_97_Arena,Studio_871,com.studio1892.game97,Action,Endless Runner,Freemium,Yes,No,Online,Teen,Pixel,Unity,US,AAA,,2021-05-29,2021-04-07,2021-08-23,True,2021-06-06,2021-06-17,0.0,147225,60.46,40.66,13.28,23525,18.07,4.26,0.1,250.1,26.0,4.51,9335,3569,7460.59,1.37,4.51,24.21,70.72,32.13,1.33,16.63,2773,112129.28,True,False,False,True,0,115346.15,12805,11.0,Android,IN,CHK_100096
3119,Game_3119_Rush,Studio_213,com.studio61.game3119,RPG,Dungeon Crawler,Freemium,Yes,Yes,,Mature 17+,Anime,Unity,US,Mid-size,,2019-08-20,2019-06-27,2020-12-15,True,2020-01-27,2020-02-05,0.0,94138,32.05,21.89,7.48,6612,23.71,3.64,1.51,207.4,31.0,4.41,5702,2856,1261.56,0.81,4.08,40.07,23.9,75.39,2.35,25.95,8838,100464.38,False,False,False,False,0,79726.14,5607,9.0,Android,IN,CHK_103118
2389,Game_2389_Quest,Studio_265,com.studio783.game2389,Casual,Party Game,Freemium,Yes,Yes,Online,Teen,Pixel,Unity,SEA,Unknown,Halloween,2021-11-14,2021-09-01,2023-02-17,True,2021-12-24,2022-01-03,0.0,191488,35.15,16.04,8.82,21980,16.75,2.81,2.27,207.49,72.0,3.76,8582,5999,15993.18,0.57,3.93,27.84,69.35,29.62,0.81,,1272,56395.49,True,True,True,False,0,41583.01,11209,10.0,Android,IN,CHK_102388
4813,Game_4813_World,Studio_682,com.studio1327.game4813,RPG,Idle RPG,Freemium,Yes,Yes,Online,Teen,Pixel,Godot,SEA,Indie,,2025-11-25,2025-08-06,2026-08-26,False,,,0.0,377478,30.71,17.3,6.53,23448,37.3,3.39,0.32,185.46,32.0,4.25,31266,19992,27413.36,,6.13,38.85,41.81,57.12,0.91,9.28,3445,217466.51,False,False,False,False,0,252658.63,36676,,Android,IN,CHK_104812
2955,Game_2955_Quest,Studio_1777,com.studio1471.game2955,Casual,Idle Clicker,Free,No,No,Online,Teen,Minimalist,Custom,SEA,Indie,,2020-08-14,2020-05-31,2021-08-16,True,2020-12-29,2021-01-11,0.0,69051,33.31,19.45,6.92,5641,22.68,3.21,2.59,185.48,60.0,3.51,3656,1373,369.76,1.17,0.9,17.66,0.05,100.0,0.71,,894,2480.18,False,False,True,True,0,1667.48,5354,13.0,Android,IN,CHK_102954
3528,Game_3528_Legends,Studio_719,com.studio1980.game3528,Action,Shooter,Free,No,Yes,,Teen,3D Realistic,Unity,Global,Indie,,2024-02-16,2023-09-20,2024-07-28,True,2024-03-08,2024-03-21,0.0,121166,31.72,13.04,7.52,8387,20.97,3.02,1.36,247.15,17.0,4.3,10222,5079,5335.11,1.19,6.4,14.67,4.58,95.9,2.3,19.82,479,154065.76,False,False,True,False,0,184814.1,9167,13.0,Android,IN,CHK_103527
4023,Game_4023_Legends,Studio_360,com.studio754.game4023,Casual,Hypercasual,Subscription,Yes,Yes,Online,Teen,Anime,Godot,Global,Indie,,2020-02-19,,2021-01-25,False,,,2.59,331560,30.55,13.21,8.36,25793,13.9,2.04,4.24,120.46,39.0,3.57,11047,5054,2468.56,0.82,3.39,25.46,61.07,42.22,1.71,18.73,438,888896.88,False,False,False,False,0,940533.33,15838,,Android,IN,CHK_104022
511,Game_511_Dash,Studio_1397,com.studio217.game511,Casual,Party Game,Paid,No,Yes,Online,Everyone,3D Realistic,Unreal,SEA,Unknown,,2018-05-06,2017-11-24,2018-07-05,True,2018-07-25,2018-08-16,3.48,221704,16.04,9.68,5.75,10050,27.76,1.94,2.38,97.76,61.0,3.6,6796,5672,7409.34,1.18,11.7,1.87,1.09,99.23,0.84,3.77,310,667094.8,True,False,False,True,0,671894.72,8494,22.0,Android,IN,CHK_100510
305,Game_305_Arena,Studio_1149,com.studio133.game305,RPG,MMORPG,Free,No,No,Online,Teen,Pixel,Unity,Global,Indie,,2020-08-06,2020-06-25,2021-09-03,False,,,0.0,66534,23.73,12.28,4.56,3038,22.63,3.07,2.4,49.34,51.0,3.44,5790,3994,,0.86,3.02,5.15,6.46,96.2,1.25,10.77,1994,21687.39,False,False,True,False,0,23625.7,5572,,Android,IN,CHK_100304
5897,Game_5897_Tycoon,Studio_1876,com.studio337.game5897,Casual,Idle Clicker,Freemium,No,Yes,,Mature 17+,3D Realistic,Godot,LATAM,Mid-size,,2019-05-14,2019-01-30,2019-12-01,True,2019-11-01,2019-11-29,0.0,83862,48.0,24.02,6.61,5125,11.05,3.27,1.7,199.11,52.0,3.79,5631,4458,,0.46,7.67,9.82,5.42,85.0,0.88,11.12,5034,71677.22,False,False,False,False,0,63886.48,5275,28.0,Android,IN,CHK_105896
34,Game_34_Legends,Studio_1298,com.studio1682.game34,Racing,Bike Racing,Free,Yes,No,Online,Teen,Pixel,Unity,LATAM,Mid-size,,2023-11-02,2023-08-17,2025-06-26,False,,,0.0,537188,31.05,16.0,11.0,78994,11.86,4.1,4.73,125.58,45.0,3.43,48742,37832,11010.28,0.43,5.01,38.73,72.27,28.82,2.17,6.82,235,192725.78,False,False,False,False,0,123400.8,50492,,Android,IN,CHK_100033
8570,Game_8570_Rush,Studio_259,com.studio1690.game8570,Action,Endless Runner,Free,No,Yes,,Everyone,3D Realistic,Custom,Europe,Mid-size,,2018-12-14,2018-09-03,2020-09-13,False,,,0.0,38203,27.61,13.68,8.01,3527,9.97,1.94,1.47,331.8,51.0,3.71,2133,786,1157.43,0.75,3.85,12.55,9.02,88.75,1.11,9.96,1929,14782.11,False,False,True,False,0,12755.74,2740,,Android,IN,CHK_108569
